0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
ACCESSORY:GLASSES,ACCESSORY:HEADWEAR,AGE:LESS10,AGE:10to12(TWEENS),AGE:13to14(EARLY TEENS),AGE:15to17(MID TEENS),AGE:18to19(LATE TEENS),AGE:20to23(EARLY 20S),AGE:24to26(MID 20S),AGE:27to29(LATE 20S),AGE:30to33(EARLY 30S),AGE:34to36(MID 30S),AGE:37to39(LATE 30S),AGE:40to43(EARLY 40S),AGE:44to46(MID 40S),AGE:47to49(LATE 40S),AGE:50to53(EARLY 50S),AGE:54to56(MID 50S),AGE:56to59(LATE 50S),AGE:ABOVE60,GENDER:MALE,GENDER:FEMALE,MAKEUP:Y,MAKEUP:N,FACIALHAIR:MOUSTACHE:Y,FACIALHAIR:MOUSTACHE:N,FACIALHAIR:BEARD:Y,FACIALHAIR:BEARD:N,HAIR:BLACK,HAIR:BROWN,HAIR:BLOND,HAIR:GRAY,HAIR:RED,HAIR:OTHER,BOLD,RANDOM
"You look hot in those glasses, but it will give you a bad luck. Just throw it away and buy a new one. Ray-Ban is on sale now.","If you wear that hat again tomorrow, you'll be very lucky and find $20 on 8th Street.",Tell your parents to buy new video games for you. Tell them you'll be happy.,"Stay away from hairspray and lighters, kid. It is sure all fun and games until someone calls a lawyer.","No one cares if you’re an idiot on the Internet, so you have at least 675 more chances to make things right. Teenager.","You still have a whole box of “Woo Hoo!” to use up, plus a truckload of “Oh crap.” Don't worry, you're still a baby.","You still have a whole box of “Woo Hoo!” to use up, plus a truckload of “Oh crap.” Don't worry, you're not even 20 yet.","You’re gonna microwave the remote control, and try to change the TV channel with a frozen burrito. Either get more sleep, or better hallucinations. You're only in early 20s.","Welcome to the real world, you're in mid 20s. It sucks. You're gonna love it.","Sometimes you just can’t believe you're only in late 20s with normal things like a mortgage, a job, and an overwhelming desire to drive off a cliff.","Your doctor tell me you have the body of an early 30s person. But I know you have the brain of a fifteen years old. If you've got both, you can play baseball.",Your phone battery will last longer than your relationship. Better look for a serious relationship. You're in your mid 30s now.,"You're in your late 30s now. If you don't like your job you strike, you just go in every day and do it really half-assed. That's the American way.","You're in your early 40s now. If you don't like your job you strike, you just go in every day and do it really half-assed. That's the American way.","You're in mid 40s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're in late 40s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're in early 50s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're in mid 50s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're in late 50s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're old. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.",I know you’re not going to do anything except watch football and eat heart-attack inducing foods for the next five months.,"Don't lay on the beach next summer. People will try to push you back to the ocean. Yes girl, gotta work harder on your diet.","You can be grateful for putting on some make up, so long as you’re not relying on botox, oxys, and air brush to cope with Cover Girl commercials.","Don't lay on the beach next summer. People will try to push you back to the ocean. Yes girl, gotta work harder on your diet.","I know you’re not going to do anything except watch football, grow your moustache, and eat heart-attack inducing foods for the next five months.",I know you’re not going to do anything except watch football and eat heart-attack inducing foods for the next five months.,"I know you’re not going to do anything except watch football, grow your beard, and eat heart-attack inducing foods for the next five months.",I know you’re not going to do anything except watch football and eat heart-attack inducing foods for the next five months.,I like your dark hair and your smile. Apparently a smile is your passport into the hearts of others.,I like your dark hair and your smile. Apparently a smile is your passport into the hearts of others.,I like your blonde hair and your smile. Apparently a smile is your passport into the hearts of others.,I like your gray hair and your smile. Apparently a smile is your passport into the hearts of others.,I like your red hair and your smile. Apparently a smile is your passport into the hearts of others.,I like your hair color and your smile. Apparently a smile is your passport into the hearts of others.,Your bald head make you look smart because everyone thinks you think so hard. But it doesn't mean you're qualified to teach or lead others.,Look in the back of left pocket of the pants you were wearing 3 days ago. There’s a $10 inside.
"Based on your glasses, you're very talented in many ways. It's just you don't look good in those glasses.",You learn from your mistakes... You will learn a lot today if you're wearing that hat.,Use your superpowers on Friday to get that big deal you want. Or just tell your parents.,"Knowing all the answers won’t win you points, but stumping the teacher with some questions of your own might do the trick.",Never trouble trouble till trouble troubles you. Teenager.,"If you don’t succeed, try, try, try again. After the fourth try, however, you should kick back and have a beer. Oh sorry, you're uderage.","If you don’t succeed, try, try, try again. After the fourth try, however, you should kick back and have a beer. Oh sorry, you're uderage.","Dance like no one’s watching, sing like you’re in the shower, but text like your grandmother is reading every single one. Be wise, you're over 20.","You're in mid 20s, that's old enough. Enjoy being able to make a decision – because just like a bipartisan law, it isn’t going to last long.","You're in late 20s, that's old enough. Enjoy being able to make a decision – because just like a bipartisan law, it isn’t going to last long.","You're in early 30s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're in mid 30s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're in late 30s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","You're in early 40s. Traumatic change must be experienced, no matter what the cost. Just like health insurance and pharmaceutical companies.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects. You're in mid 40s.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects. You're in late 40s.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects. You're in early 50s.",You’re looking good and feeling young next week even though you're in mid 50s. That shirt will earn you some free drinks. ,You’re looking good and feeling young next week even though you're in late 50s. That shirt will earn you some free drinks. ,You’re looking good and feeling young next week. That shirt will earn you some free drinks. ,"Make a lifestyle change for better health now, else you might wind-up looking like Trump on a taco diet by Thanksgiving.",There’s a way of transferring funds that is even faster than electronic banking. It’s called being married to a rich man.,Your make up doesn’t make you attractive: it just makes your bitchiness irresistible to fellow indecisives and Pottery Barn patrons.,There’s a way of transferring funds that is even faster than electronic banking. It’s called being married to a rich man.,Take some time to relax and de-stress before you end up curling your moustache and dying it red.,"Make a lifestyle change for better health now, else you might wind-up looking like Trump on a taco diet by Thanksgiving.",Take some time to relax and de-stress before you end up curling your beard and dying it red.,"Make a lifestyle change for better health now, else you might wind-up looking like Trump on a taco diet by Thanksgiving.","Of course you’re busy and stressed, but take a hint when your friends say your dark hair looks just like the fur on that dead chipmunk.","Of course you’re busy and stressed, but take a hint when your friends say your dark hair looks just like the fur on that dead chipmunk.","Of course you’re busy and stressed, but take a hint when your friends say your blond hair looks just like the fur on that dead chipmunk.","Of course you’re busy and stressed, but take a hint when your friends say your gray hair looks just like the fur on that dead chipmunk.","Of course you’re busy and stressed, but take a hint when your friends say your red hair looks just like the fur on that dead chipmunk.","Of course you’re busy and stressed, but take a hint when your friends say your hair looks just like the fur on that dead chipmunk.","Some shine like a diamond, but you shine like a fresh sheet of aluminum foil. Like your head.","Remember: You can do anything you want, go anywhere you like. The only thing stopping you is your mind. Set yourself free! There are no limi"
Half of being smart is knowing what you're dumb about. You look smart on those glasses.,Any decision you have to make tomorrow is a good decision. Just don't forget to wear that hat again tomorrow.,Tell your parents to buy new video games for you. Tell them you'll be happy.,"Saturday will be a good day for you, if you remember these words: “rechargeable llamas.” Don’t slip up and substitute alpacas.","Stay away from hairspray and lighters, kid. It is sure all fun and games until someone calls a lawyer.","No one cares if you’re an idiot on the Internet, so you have at least 675 more chances to make things right. Teenager.","No one cares if you’re an idiot on the Internet, so you have at least 675 more chances to make things right. Teenager.","You’re like Taylor Swift without a breakup; you’re feeling uninspired. Grow up, you're over 20.","If you really can’t handle a stress-free day, hire a teenager to follow you around and comment on your decisions. It's okay even you're in mid 20s.","Do something real to help heal the world, like protecting children from being sold as sex slaves. You're almost 30.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects. You're over 30.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects. You're over 30.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects. You're in late 30s.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects. You're in early 40s.",You’re looking good and feeling young next week even though you're in mid 40s. That shirt will earn you some free drinks. ,You’re looking good and feeling young next week even though you're in late 40s. That shirt will earn you some free drinks.,You’re looking good and feeling young next week even though you're in early 50s. That shirt will earn you some free drinks. ,"You may be on the right track, but you’ve completely forgotten which train you were chasing. You're in midlife crisis.","You may be on the right track, but you’ve completely forgotten which train you were chasing. You're in midlife crisis.","You may be on the right track, but you’ve completely forgotten which train you were chasing. You're in midlife crisis.",Organize your living space instead of the supplies of your video game characters. You're a big man.,"It’s okay: you can be grateful for being beautiful, so long as you’re not relying on botox, oxys, and air brush to cope with Cover Girl commercials.","On Thursday, you stand out more than a game of Where’s Waldo at a nudist colony. Don't put too much make up.","It’s okay: you can be grateful for being beautiful, so long as you’re not relying on botox, oxys, and air brush to cope with Cover Girl commercials.","Now is the time to try something new. Like, braiding your moustache.",Organize your living space instead of the supplies of your video game characters. You're a big man.,"Now is the time to try something new. Like, braiding your beard.",Organize your living space instead of the supplies of your video game characters. You're a big man.,Take some time to relax and de-stress before you end up mopping the floor with your dark hair.,Take some time to relax and de-stress before you end up mopping the floor with your dark hair.,Take some time to relax and de-stress before you end up mopping the floor with your blond hair.,Take some time to relax and de-stress before you end up mopping the floor with your gray hair.,Take some time to relax and de-stress before you end up mopping the floor with your red hair.,"Your colored hair is telling me you’re feeling out of touch, like an 8-track tape in a streaming podcast world.",Your bald head is telling me that seven is an important number today. Could be how many millions you win in the lottery or how many parking tickets you receive.,"Always try to learn from other people's mistakes, not your own. It is much cheaper that way."
Your glasses make you look smart. But it doesn't mean you're qualified to teach or lead others.,The cooler you think you are the dumber you look. Especially with that hat.,Use your superpowers on Friday to get that big deal you want. Or just tell your parents.,Use your superpowers on Friday to get that big deal you want. Or just tell your parents.,"Remember this: duct tape can fix anything, so don't worry about messing things up. You're still a teenager.","Remember this: duct tape can fix anything, so don't worry about messing things up. You're still a teenager.","Remember this: duct tape can fix anything, so don't worry about messing things up. You're still a teenager.","The best things in life are free, but the really cool stuff requires cash. Make money, you're over 20.","Relax. It isn’t your job to keep the world spinning because you're only in your mid 20s, you just need to give it a freewheeling slap every now and then.","If you really can’t handle a stress-free day, hire a teenager to follow you around and comment on your decisions. It's okay even you're in late 20s.","Do something real to help heal the world, like protecting children from being sold as sex slaves. You're an in early 30s, that's an adult.","If you really can’t handle a stress-free day, hire a teenager to follow you around and comment on your decisions. It's okay even you're in mid 30s.","Relax. It isn’t your job to keep the world spinning because you're only in your late 30s, you just need to give it a freewheeling slap every now and then.",You’re looking good and feeling young next week even though you're in early 40s. That shirt will earn you some free drinks. ,You seem relax for mid 40s. Either you’ve found inner peace or you’ve simply forgotten everything you were supposed to do today. ,"You may be on the right track, but you’ve completely forgotten which train you were chasing. You're in midlife crisis.","You may be on the right track, but you’ve completely forgotten which train you were chasing. You're in midlife crisis.","When you feel like your life is spinning in circles, just pop the lid and get out of the blender. Midlife crisis.","When you feel like your life is spinning in circles, just pop the lid and get out of the blender. Midlife crisis.","Your daydreaming nature pulls at you this week, and the only thing tethering you to reality is your grumpy family.","Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects.",You know Instagram has new filters but a selfie sent to a stranger can end-up super bad.,"On Thursday, remember this: skinny jeans, too much make up and Mexican food don’t mix.",You know Instagram has new filters but a selfie sent to a stranger can end-up super bad.,Any decision you have to make tomorrow is a good decision. As long as you don't shave your moustache tonight.,"Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects.",Any decision you have to make tomorrow is a good decision. As long as you don't shave your beard tonight.,"Instead of selling your soul to the devil for a buck, consider contemplating who you are without titles or material objects.","Your dark hair is telling me you're feeling lost in the universe. It's alright, no one else knows what the heck they’re doing, either.","Your dark hair is telling me you're feeling lost in the universe. It's alright, no one else knows what the heck they’re doing, either.","Your blond hair is telling me you're feeling lost in the universe. It's alright, no one else knows what the heck they’re doing, either.","Your gray hair is telling me you're feeling lost in the universe. It's alright, no one else knows what the heck they’re doing, either.","Your red hair is telling me you're feeling lost in the universe. It's alright, no one else knows what the heck they’re doing, either.",Your colored hair is telling me that there are two ways to overcome wanting what you can’t have: work or vodka.,Your bald head is telling me that there are two ways to overcome wanting what you can’t have: work or vodka.,"If you find yourself in a confusing situation, simply laugh knowingly and walk away."
"You see an opportunity, but it doesn’t see you. Walk up to it, put your glasses on it.",A new wardrobe brings great joy and change to your life. Buy new hat.,Tell your parents to buy new video games for you. Tell them you'll be happy.,"Stay away from hairspray and lighters, kid. It is sure all fun and games until someone calls a lawyer.","The future doesn’t have anything in store for you, you're too young; it’s all kept in the warehouse, and comes to you via two-day shipping.",Never trouble trouble till trouble troubles you. Teenager.,You don't need the answers to all of life's questions. Just ask your father what to do. You're still a baby.,"You still have a whole box of “Woo Hoo!” to use up, plus a truckload of “Oh crap.” Don't worry, you're still in early 20.","You’re gonna microwave the remote control, and try to change the TV channel with a frozen burrito. Either get more sleep, or better hallucinations. You're only in mid 20s.","Relax. It isn’t your job to keep the world spinning because you're only in your late 20s, you just need to give it a freewheeling slap every now and then.","If you really can’t handle a stress-free day, hire a teenager to follow you around and comment on your decisions. It's okay even you're in early 30s.","Relax. It isn’t your job to keep the world spinning because you're only in your mid 30s, you just need to give it a freewheeling slap every now and then.","It takes a big person to admit they’re wrong, but you’re still shopping in the juniors department even though you're in late 30s.",You're over 40 and need cash? Maybe you could stuff your shirt with balloons and get a job at Hooters.,"The road of life always has a few bumps. You can do it, you’re a master of Mario Kart. You're mid 40s in a body of teens.",You seem relax for late 40s. Either you’ve found inner peace or you’ve simply forgotten everything you were supposed to do today. ,"When you feel like your life is spinning in circles, just pop the lid and get out of the blender. Midlife crisis.","The kids are back in school, so you can catch up on all those racy movies you’ve been saving on Netflix.","The kids are back in school, so you can catch up on all those racy movies you’ve been saving on Netflix.","There’s no reason to dwell on the past, unless you think you can get a few free drinks out of it. Don't think about going back to your 20s.","If you find yourself talking and walking like Kim Jong Un, do not detonate the bombs of your inner life. Go on a diet and learn English instead.","GQ and Victoria’s Secret will only increase your facade of passion and pride, not your true charisma and creativity.",You know you don't need to put too much make up because Instagram has new filters. But a selfie sent to a stranger can end-up super bad.,"GQ and Victoria’s Secret will only increase your facade of passion and pride, not your true charisma and creativity.",You have an unusually magnetic personality. Not because you have good looking moustache.,"If you find yourself talking and walking like Kim Jong Un, do not detonate the bombs of your inner life. Go on a diet and learn English instead.",You have an unusually magnetic personality. Not because you have good looking beard.,"If you find yourself talking and walking like Kim Jong Un, do not detonate the bombs of your inner life. Go on a diet and learn English instead.",Don’t be disappointed by a mediocre day. Unless your beautiful dark hair will turn gray in no time.,Don’t be disappointed by a mediocre day. Unless your beautiful dark hair will turn gray in no time.,Don’t be disappointed by a mediocre day. Unless your beautiful blonde hair will turn gray in no time.,"Your gray hair is telling me you’re feeling out of touch, like an 8-track tape in a streaming podcast world.",Don’t be disappointed by a mediocre day. Unless your beautiful red hair will turn gray in no time.,I like your hair color and your smile. Apparently a smile is your passport into the hearts of others.,"I can see from your bald head that life drags you from place to place, but you’re in the driver’s seat most of the time.",Anyone who says money can’t buy happiness doesn’t know where to shop.
"Even though you wear glasses, you need to broaden your horizons and reel in a few more facts before someone hooks you with a tough question.","That look can still work for you, as long as you wear that headwear and do a few pratfalls.",Use your superpowers on Friday to get that big deal you want. Or just tell your parents.,"Knowing all the answers won’t win you points, but stumping the teacher with some questions of your own might do the trick.","Saturday will be a good day for you, if you remember these words: “rechargeable llamas.” Don’t slip up and substitute alpacas.","Stay away from hairspray and lighters, kid. It is sure all fun and games until someone calls a lawyer.",Never trouble trouble till trouble troubles you. Teenager.,"Remember this: duct tape can fix anything, so don't worry about messing things up. You're just 20s.","Dance like no one’s watching, sing like you’re in the shower, but text like your grandmother is reading every single one. Be wise, you're over 20.","People say you’re an open book but frankly, you’re not even a one-sided pamphlet. Get serious, you're almost 30.","Relax. It isn’t your job to keep the world spinning because you're only in your early 30s, you just need to give it a freewheeling slap every now and then.","It takes a big person to admit they’re wrong, but you’re still shopping in the juniors department even though you're in mid 30s.",You’re looking good and feeling young next week even though you're in late 30s. That shirt will earn you some free drinks. ,You seem relax for early 40s. Either you’ve found inner peace or you’ve simply forgotten everything you were supposed to do today. ,"Spicing things up in the bedroom is fine, but adding habenero to the whipped cream is not. You're not 20 anymore.","When you feel like your life is spinning in circles, just pop the lid and get out of the blender. Midlife crisis.",Finding your inner peace may be tougher than remembering where you left the remote.,"Don’t sweat that mistake you made on Monday. If everyone were perfect, there would be no plastic surgery, gum erasers or reality TV.","There’s no reason to dwell on the past, unless you think you can get a few free drinks out of it. Don't think about going back to your 20s.",Sometimes setting a goal is like setting a table: there are too many forks and you forgot which spoon you’re supposed to use for.,"You’ll be alone today, tomorrow, this week, and probably for the rest of 2018. The only way to push through this is to watch Adult Swim. Or find a girlfriend.","Stop pretending that you’re a passionate, creative person. We all know very well that you only use your fancy camera for selfies, and your true love is the remote control. Oh, woman.",This week you may want to look your best and put on some make up because someone has noticed how hot you are.,"Stop pretending that you’re a passionate, creative person. We all know very well that you only use your fancy camera for selfies, and your true love is the remote control. Oh, woman.",Your moustache is a symbol of confidence. And the first step toward success is confidence. The second is having dirt on everyone else in the room.,"You’ll be alone today, tomorrow, this week, and probably for the rest of 2018. The only way to push through this is to watch Adult Swim. Or find a girlfriend.","Your beard is telling me your chance to become rich and famous happens at 10:15 a.m. on Friday. It’s also happening 300 miles away from you, so tough luck on that. ","You’ll be alone today, tomorrow, this week, and probably for the rest of 2018. The only way to push through this is to watch Adult Swim. Or find a girlfriend.","Now is the time to try something new. Like, dying your dark hair bright neon.","Now is the time to try something new. Like, dying your dark hair bright neon.","Now is the time to try something new. Like, dying your blond hair bright neon.",Someone else is watching your moves because of your pretty gray hair; if you play your mixtape just right you’ll end up with a hip-swaying sweetie.,"Your red hair is telling me you’re feeling out of touch, like an 8-track tape in a streaming podcast world.","Of course you’re busy and stressed, but take a hint when your friends say your hair looks just like the fur on that dead chipmunk.","If the eyes are the windows to your soul, then your bald head could definitely use some spring cleaning.","Check your bill, it may be added wrong."
Keep your eye out for someone special. But increase your index lenses otherwise you'll miss that opportunity.,"Your hat is telling me that you need some “me” time, but even you don’t want to be with you right now.",Tell your parents to buy new video games for you. Tell them you'll be happy.,"Saturday will be a good day for you, if you remember these words: “rechargeable llamas.” Don’t slip up and substitute alpacas.","No one cares if you’re an idiot on the Internet, so you have at least 675 more chances to make things right. Teenager.","Lighten up, because it’s not about winning; what matters is how you play the game. And who has the most followers on Twitter.","Stay away from hairspray and lighters, kid. It is sure all fun and games until someone calls a lawyer.","Your emotional currents are flowing powerfully now. Grow up, you're over 20.",You're in mid 20s and need cash? Maybe you could stuff your shirt with balloons and get a job at Hooters.,"Dance like no one’s watching, sing like you’re in the shower, but text like your grandmother is reading every single one. Be wise, you're almost 30.","It takes a big person to admit they’re wrong, but you’re still shopping in the juniors department even though you're in early 30s.",You’re looking good and feeling young next week even though you're in mid 30s. That shirt will earn you some free drinks. ,"People say you’re an open book but frankly, you’re not even a one-sided pamphlet. Get serious, you're over 30.","No need to raise everyone’s expectations for you now, so set the bar low. If you’re in your own underwear and you’re still breathing, you’re good. Don't worry about being 40s.","The kids are back in school, so you can catch up on all those racy movies you’ve been saving on Netflix.","The kids are back in school, so you can catch up on all those racy movies you’ve been saving on Netflix.","The kids are back in school, so you can catch up on all those racy movies you’ve been saving on Netflix.",Relax and think about what you want before your days turn into a pratfall-based sitcom.,Just because you have an endless supply of love doesn’t mean you should be handing out free samples to everyone.,"Be the change you seek. Specifically, pennies and nickels, because you’re exceptionally talented at giving your two cents worth.",Someone at work may hit on you this week. Learn about the real ingredients in mustard from her. That could be useful.,"You’ll be alone today, tomorrow, this week, and probably for the rest of 2018. The only way to push through this is to watch Adult Swim. Or find a boyfriend.","You don’t have to be beautiful or put too much make up to get ahead in this world, but it does distract the idiots so you can get things done. ","You’ll be alone today, tomorrow, this week, and probably for the rest of 2018. The only way to push through this is to watch Adult Swim. Or find a boyfriend.","If you don’t succeed, the Internet loves an epic fail, so put curl that moustache and create your first vlog on YouTube.",Someone at work may hit on you this week. Learn about the real ingredients in mustard from her. That could be useful.,"You want to dance like no one is watching, but deep down you know the dog is silently judging you. Grow your beard to boost your confidence.",Someone at work may hit on you this week. Learn about the real ingredients in mustard from her. That could be useful.,Any decision you have to make tomorrow is a good decision. As long as you don't dye your dark hair tonight.,Any decision you have to make tomorrow is a good decision. As long as you don't dye your dark hair tonight.,Any decision you have to make tomorrow is a good decision. As long as you don't dye your blond hair tonight.,I like your gray hair and your smile. Apparently a smile is your passport into the hearts of others.,Someone else is watching your moves because of your pretty red hair; if you play your mixtape just right you’ll end up with a hip-swaying sweetie.,"Your colored hair is telling me you’re feeling out of touch, like an 8-track tape in a streaming podcast world.","Looking at your bald head I know that a person in your life is a giver. So far, they’ve gifted you with migraines, a permanent twitch and a slight case of insanity.","If you don't know what to say, just be like ""that's hot."""
